Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

11-21-2018  9:46AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  DetektorSchemat.ngd
output file: DetektorSchemat_pad.csv
Part type:   xc9572xl
Speed grade: -10
Package:     pc44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O,,,,,,,,,,
P2,PS2_DATA,I,I/O,INPUT,,,,,,,,,
P3,PS2_CLK,I,I/O,INPUT,,,,,,,,,
P4,D7S_D<2>,O,I/O,OUTPUT,,,,,,,,,
P5,CLK_XT,GCK,I/O/GCK1,,,,,,,,,,
P6,D7S_D<1>,O,I/O/GCK2,OUTPUT,,,,,,,,,
P7,CLK_DSPL,GCK,I/O/GCK3,,,,,,,,,,
P8,D7S_D<0>,O,I/O,OUTPUT,,,,,,,,,
P9,D7S_D<3>,O,I/O,OUTPUT,,,,,,,,,
P10,GND,,GND,,,,,,,,,,
P11,D7S_S<5>,O,I/O,OUTPUT,,,,,,,,,
P12,D7S_S<0>,O,I/O,OUTPUT,,,,,,,,,
P13,D7S_S<1>,O,I/O,OUTPUT,,,,,,,,,
P14,D7S_S<4>,O,I/O,OUTPUT,,,,,,,,,
P15,TDI,,TDI,,,,,,,,,,
P16,TMS,,TMS,,,,,,,,,,
P17,TCK,,TCK,,,,,,,,,,
P18,D7S_S<7>,O,I/O,OUTPUT,,,,,,,,,
P19,D7S_S<3>,O,I/O,OUTPUT,,,,,,,,,
P20,D7S_S<6>,O,I/O,OUTPUT,,,,,,,,,
P21,VCC,,VCCINT,,,,,,,,,,
P22,D7S_S<2>,O,I/O,OUTPUT,,,,,,,,,
P23,GND,,GND,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TDO,,TDO,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,VCC,,VCCIO,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,Y,O,I/O,OUTPUT,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,TIE,,I/O,,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,TIE,,I/O/GSR,,,,,,,,,,
P40,TIE,,I/O/GTS2,,,,,,,,,,
P41,VCC,,VCCINT,,,,,,,,,,
P42,Reset,I,I/O/GTS1,INPUT,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,TIE,,I/O,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


